code,tema,titulo,url,fecha_publicacion,pdf,txt,n_caracteres
E.06,E,Fiche pathologie bâtiment  – E.06 « Cheminées à foyer fermé et inserts » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-E06-Cheminees-Foyer-Ferme-Inserts-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-E06-Cheminees-Foyer-Ferme-Inserts-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-E06-Cheminees-Foyer-Ferme-Inserts-AQC.txt,18124
E.05,E,Fiche pathologie bâtiment  – E.05 « Chauffage par le sol par Plancher Rayonnant Électrique » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-E05-Chauffage-Sol-Plancher-Rayonnant-Electrique-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-E05-Chauffage-Sol-Plancher-Rayonnant-Electrique-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-E05-Chauffage-Sol-Plancher-Rayonnant-Electrique-AQC.txt,16332
F.03,F,Fiche pathologie bâtiment  – F.03 « Dégradations par l’eau des douches carrelées dites “à l’italienne” » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-F03-Degradations-Eau-Douches-Carreles-Italienne-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-F03-Degradations-Eau-Douches-Carreles-Italienne-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-F03-Degradations-Eau-Douches-Carreles-Italienne-AQC.txt,18701
E.04,E,Fiche pathologie bâtiment  – E.04 « Chauffage par le sol à eau chaude » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-E04-Chauffage-Sol-Eau-Chaude-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-E04-Chauffage-Sol-Eau-Chaude-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-E04-Chauffage-Sol-Eau-Chaude-AQC.txt,16858
F.04,F,Fiche pathologie bâtiment  – F.04 « Fissuration et décollement des carrelages de sol dans l’habitat » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-F04-Fissuration-Decollement-Carrelages-Sol-Habitat-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-F04-Fissuration-Decollement-Carrelages-Sol-Habitat-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-F04-Fissuration-Decollement-Carrelages-Sol-Habitat-AQC.txt,15430
E.03,E,Fiche pathologie bâtiment  – E.03 « Corrosion et embouage des circuits de chauffage » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-E03-Corrosion-Embouage-Circuits-Chauffage-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-E03-Corrosion-Embouage-Circuits-Chauffage-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-E03-Corrosion-Embouage-Circuits-Chauffage-AQC.txt,26524
E.02,E,Fiche pathologie bâtiment  – E.02 « Corrosion des circuits d’eau sanitaire en acier » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-E02-Corrosion-Circuits-Eau-Sanitaire-Acier-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-E02-Corrosion-Circuits-Eau-Sanitaire-Acier-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-E02-Corrosion-Circuits-Eau-Sanitaire-Acier-AQC.txt,10644
E.01,E,Fiche pathologie bâtiment  – E.01 « Fuites de canalisations en cuivre incorporées dans les dalles » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-E01-Fuites-Canalisations-Cuivre-Incorporees-Dalles-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-E01-Fuites-Canalisations-Cuivre-Incorporees-Dalles-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-E01-Fuites-Canalisations-Cuivre-Incorporees-Dalles-AQC.txt,12984
F.05,F,Fiche pathologie bâtiment  – F.05 « Décollement des revêtements de sols souples collés » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-F05-Decollement-Revetements-Sols-Souples-Colles-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-F05-Decollement-Revetements-Sols-Souples-Colles-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-F05-Decollement-Revetements-Sols-Souples-Colles-AQC.txt,14493
F.06,F,Fiche pathologie bâtiment  – F.06 « Parquets et risques liés à l’humidité » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-F06-Parquets-Risques-Humidite-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-F06-Parquets-Risques-Humidite-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-F06-Parquets-Risques-Humidite-AQC.txt,9498
F.07,F,Fiche pathologie bâtiment  – F.07 « Désordres sur peintures de sol » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-F07-Desordres-Peintures-Sol-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-F07-Desordres-Peintures-Sol-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-F07-Desordres-Peintures-Sol-AQC.txt,11023
F.08,F,Fiche pathologie bâtiment  – F.08 « Désordres des sols industriels » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-F08-Desordres-Sols-Industriels-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-F08-Desordres-Sols-Industriels-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-F08-Desordres-Sols-Industriels-AQC.txt,15033
F.09,F,Fiche pathologie bâtiment  – F.09 « Décollement de peinture sur plafonds neufs en béton » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-F09-Decollement-Peinture-Plafonds-Neufs-Beton-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-F09-Decollement-Peinture-Plafonds-Neufs-Beton-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-F09-Decollement-Peinture-Plafonds-Neufs-Beton-AQC.txt,9305
F.10,F,Fiche pathologie bâtiment  – F.10 « Désordres des systèmes de peinture sur métaux » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-F10-Desordres-Systemes-Peinture-Metaux-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-F10-Desordres-Systemes-Peinture-Metaux-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-F10-Desordres-Systemes-Peinture-Metaux-AQC.txt,18925
D.01,D,Fiche pathologie bâtiment  – D.01 « Infiltrations par les liaisons menuiseries extérieures/gros oeuvre » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-D01-Infiltrations-Liaisons-Menuiseries-Exterieures-Gros-Oeuvre-Outre-Mer-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-D01-Infiltrations-Liaisons-Menuiseries-Exterieures-Gros-Oeuvre-Outre-Mer-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-D01-Infiltrations-Liaisons-Menuiseries-Exterieures-Gros-Oeuvre-Outre-Mer-AQC.txt,25255
D.02,D,Fiche pathologie bâtiment  – D.02 « Infiltrations d’eau par seuil de porte-fenêtre » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-D02-Infiltrations-Eau-Seuil-Porte-Fenetre-Outre-Mer-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-D02-Infiltrations-Eau-Seuil-Porte-Fenetre-Outre-Mer-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-D02-Infiltrations-Eau-Seuil-Porte-Fenetre-Outre-Mer-AQC.txt,16269
D.03,D,Fiche pathologie bâtiment  – D.03 « Désordres des enduits monocouche » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-D03-Desordres-Enduits-Monocouches-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-D03-Desordres-Enduits-Monocouches-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-D03-Desordres-Enduits-Monocouches-AQC.txt,19840
D.04,D,Fiche pathologie bâtiment  – D.04 « Micro-organismes en façades » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-D04-Micro-Organismes-Facades-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-D04-Micro-Organismes-Facades-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-D04-Micro-Organismes-Facades-AQC.txt,9495
C.13,C,"Fiche pathologie bâtiment  – C.13 « Toitures-terrasses, balcons et coursives en milieu tropical » – AQC",https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-C13-Toitures-Terrasses-Balcons-Coursives-Milieu-Tropical-Outre-Mer-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-C13-Toitures-Terrasses-Balcons-Coursives-Milieu-Tropical-Outre-Mer-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-C13-Toitures-Terrasses-Balcons-Coursives-Milieu-Tropical-Outre-Mer-AQC.txt,18961
C.12,C,Fiche pathologie bâtiment  – C.12 « Points faibles de la protection lourde en toitures-terrasses accessibles » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-C12-Points-Faibles-Protection-Lourde-Toitures-Terrasses-Accessibles-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-C12-Points-Faibles-Protection-Lourde-Toitures-Terrasses-Accessibles-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-C12-Points-Faibles-Protection-Lourde-Toitures-Terrasses-Accessibles-AQC.txt,11925
D.05,D,Fiche pathologie bâtiment  – D.05 « Revêtements extérieurs sur ouvrages neufs » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-D05-Revetements-Exterieurs-Ouvrages-Neufs-Outre-Mer-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-D05-Revetements-Exterieurs-Ouvrages-Neufs-Outre-Mer-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-D05-Revetements-Exterieurs-Ouvrages-Neufs-Outre-Mer-AQC.txt,16996
C.11,C,"Fiche pathologie bâtiment  – C.11 « Toitures-terrasses, le point faible : les relevés » – AQC",https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-C11-Toitures-Terrasses-Releves-Points-Faibles-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-C11-Toitures-Terrasses-Releves-Points-Faibles-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-C11-Toitures-Terrasses-Releves-Points-Faibles-AQC.txt,19430
C.10,C,Fiche pathologie bâtiment  – C.10 « Effondrement des couvertures légères sous le poids de l’eau » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-C10-Effondrement-Couvertures-Legeres-Poids-Eau-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-C10-Effondrement-Couvertures-Legeres-Poids-Eau-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-C10-Effondrement-Couvertures-Legeres-Poids-Eau-AQC.txt,12153
C.09,C,Fiche pathologie bâtiment  – C.09 « Infiltrations d’eau des couvertures en milieu tropical » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-C09-Couvertures-Milieu-Tropical-Outre-Mer-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-C09-Couvertures-Milieu-Tropical-Outre-Mer-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-C09-Couvertures-Milieu-Tropical-Outre-Mer-AQC.txt,20030
C.08,C,Fiche pathologie bâtiment  – C.08 « Fuite de couvertures de grands éléments : toiture sèche » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-C08-Fuite-Couvertures-Grands-Elements-Toiture-Seche-Outre-Mer-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-C08-Fuite-Couvertures-Grands-Elements-Toiture-Seche-Outre-Mer-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-C08-Fuite-Couvertures-Grands-Elements-Toiture-Seche-Outre-Mer-AQC.txt,11160
C.07,C,Fiche pathologie bâtiment  – C.07 « Condensation en sous-face de couvertures métalliques » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-C07-Condensation-Sous-Face-Couvertures-Metalliques-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-C07-Condensation-Sous-Face-Couvertures-Metalliques-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-C07-Condensation-Sous-Face-Couvertures-Metalliques-AQC.txt,23746
